Country,Long,data,Donate,Receive,Lat
Australia,133.775136,1-21-0-1-0,2446616312,2572618261,-25.274398
Austria,14.550072,0-6-0-0-0,784068952,770267419,47.516231
Belgium,4.469936,0-2-0-0-0,2144445270,184346233,50.503887
Brazil,-51.92528,34-51-27-185-14,1134440,36607258078,-14.235004
Canada,-106.346771,0-19-0-1-0,7466338200,3920186352,56.130366
Chile,-71.542969,12-23-5-85-7,564349,7334129130,-35.675147
Colombia,-74.297333,8-26-25-131-0,190795,25530536307,4.570868
Cyprus,33.429859,0-1-1-3-0,5599,968154947,35.126413
Czech Republic,15.472962,5-8-11-27-0,8930435,2141913341,49.817492
Denmark,9.501785,0-3-0-0-0,2952416405,166310586,56.26392
Estonia,25.013607,3-5-5-25-0,278942,251349503,58.595272
Finland,25.748151,0-3-0-0-0,665953415,180695493,61.92411
France,2.213749,0-3-0-0-0,15456459635,237540854,46.227638
Germany,10.451526,0-0-0-0-0,40823292408,60164,51.165691
Greece,21.824312,0-2-1-2-0,32667185,519377906,39.074208
Hungary,19.503304,3-3-6-18-0,324552,2925327491,47.162494
Iceland,-19.020835,0-1-0-0-0,172501,18060045,64.963051
India,78.96288,97-53-123-489-127,0,1.34E+11,20.593684
Ireland,-8.24389,0-4-2-3-0,295144458,934638729,53.41291
Italy,12.56738,0-5-0-0-0,3835655974,2400826417,41.87194
Japan,138.252924,0-11-0-0-0,1.11E+11,2081102258,36.204824
Korea,127.510093,7-18-6-104-0,1299047720,25294323453,40.339852
Kuwait,47.481766,0-0-1-1-0,1369078319,2513103863,29.31166
Latvia,24.603189,3-5-4-7-0,0,423495040,56.879635
Liechtenstein,9.555373,0-0-0-0-0,4370700,18393083,47.166
Lithuania,23.881275,2-3-12-12-0,0,514143270,55.169438
Luxembourg,6.129583,0-3-0-0-0,111554022,555039832,49.815273
New Zealand,174.885971,0-2-0-1-0,56749885,225588310,-40.900557
Norway,8.468946,0-5-0-0-0,4416814418,368001981,60.472024
Poland,19.145136,8-16-5-65-16,403184,18122078775,51.919438
Portugal,-8.224454,0-1-0-1-0,68900866,175242606,39.399872
Qatar,51.183884,0-0-3-1-0,104519053,733783749,25.354826
Romania,24.96676,9-8-5-39-0,0,3329059861,45.943161
Saudi Arabia,45.079162,1-5-10-21-0,1698410689,4877749103,23.885942
Slovak Republic,19.699024,1-1-11-20-0,395574,821195623,48.669026
Slovenia,14.995463,3-0-1-3-1,150028,225435200,46.151241
South Africa,22.937506,5-16-14-121-0,0,18655555070,-30.559482
Spain,-3.74922,0-1-12-1-0,2014695904,561711808,40.463667
Sweden,18.643501,0-0-0-2-0,6364045876,59757155,60.128161
Switzerland,8.227512,0-0-0-0-0,2844087953,326783,46.818188
Taiwan,120.960515,1-8-0-43-0,83737498,3399554410,23.69781
Thailand,100.992541,51-47-30-183-1,25461,46151450692,15.870032
United Arab Emirates,53.847818,0-1-0-3-0,67636986,300206472,23.424076
United Kingdom,-3.435973,0-4-0-0-0,23690539376,957343964,55.378051
United States,-95.712891,0-0-0-0-0,1.11E+11,104524992,37.09024
